City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,38.17,80,100,18.3,TF,1690317766
1,bethel,41.3712,-73.414,80.96,73,95,4.0,US,1690317893
2,manta,-0.95,-80.7333,87.58,69,20,10.0,EC,1690317893
3,kalachinsk,55.0529,74.5751,62.33,66,36,6.87,RU,1690317894
4,tiksi,71.6872,128.8694,41.86,74,54,3.02,RU,1690317814
5,kruisfontein,-34.0033,24.7314,51.69,42,0,6.08,ZA,1690317785
6,bredasdorp,-34.5322,20.0403,45.23,75,0,2.06,ZA,1690317894
7,pyu,18.4833,96.4333,74.34,96,98,3.29,MM,1690317894
8,edinburgh of the seven seas,-37.0676,-12.3116,52.88,65,100,19.28,SH,1690317894
9,adamstown,-25.066,-130.1015,72.57,91,100,39.17,PN,1690317759
10,nadym,65.5333,72.5167,65.8,79,99,11.63,RU,1690317825
11,valdosta,30.8327,-83.2785,94.69,55,75,4.61,US,1690317827
12,chegdomyn,51.1167,133.0167,64.6,98,100,3.76,RU,1690317895
13,kogalym,62.2654,74.4791,58.64,93,52,1.86,RU,1690317895
14,jamiltepec,16.2833,-97.8167,87.84,53,64,8.66,MX,1690317895
15,yellowknife,62.456,-114.3525,77.56,27,75,23.02,CA,1690317895
16,gisborne,-38.6533,178.0042,44.94,88,99,19.26,NZ,1690317895
17,djambala,-2.5447,14.7533,77.92,44,11,1.57,CG,1690317895
18,ushuaia,-54.8,-68.3,33.46,60,40,9.22,AR,1690317895
19,nar'yan-mar,67.6713,53.087,58.64,78,18,7.63,RU,1690317895
20,aldan,58.6031,125.3894,60.73,85,57,0.45,RU,1690317896
21,isafjordur,66.0755,-23.124,46.44,78,93,8.66,IS,1690317787
22,sai buri,6.7013,101.6168,77.36,88,99,3.87,TH,1690317896
23,iqaluit,63.7506,-68.5145,42.53,86,100,4.61,CA,1690317896
24,dubbo,-32.25,148.6167,39.33,93,0,11.5,AU,1690317896
25,albany,42.6001,-73.9662,79.21,70,100,4.32,US,1690317865
26,anadyr,64.75,177.4833,54.1,81,75,13.42,RU,1690317816
27,bilibino,68.0546,166.4372,51.78,94,100,1.86,RU,1690317777
28,hithadhoo,-0.6,73.0833,82.38,78,97,14.99,MV,1690317831
29,waitangi,-43.9535,-176.5597,48.81,98,100,1.99,NZ,1690317897
30,rawai,7.7797,98.3253,86.99,70,100,15.79,TH,1690317897
31,lorengau,-2.0226,147.2712,79.52,85,100,16.15,PG,1690317897
32,saipan,15.1355,145.701,82.65,100,75,8.05,MP,1690317894
33,oranjemund,-28.55,16.4333,56.25,79,94,13.44,NA,1690317897
34,udachny,66.4167,112.4,63.81,61,100,5.48,RU,1690317897
35,port alfred,-33.5906,26.891,59.36,62,100,9.98,ZA,1690317830
36,stanley,54.868,-1.6985,56.79,89,75,2.3,GB,1690317897
37,ola,59.5833,151.2833,56.41,87,27,2.13,RU,1690317848
38,lebu,-37.6167,-73.65,51.82,80,72,9.78,CL,1690317832
39,buka,40.8108,69.1986,80.91,19,3,6.51,UZ,1690317875
40,conception bay south,47.4999,-52.9981,79.75,74,64,10.31,CA,1690317739
41,sisimiut,66.9395,-53.6735,45.86,79,70,11.61,GL,1690317898
42,thompson,55.7435,-97.8558,73.56,38,40,11.5,CA,1690317898
43,olonkinbyen,70.9221,-8.7187,41.7,86,100,8.72,SJ,1690317890
44,whitehorse,60.7161,-135.0538,66.02,59,75,3.44,CA,1690317750
45,jijiga,9.35,42.8,65.44,70,99,22.5,ET,1690317898
46,port mathurin,-19.6833,63.4167,74.08,77,11,16.58,MU,1690317898
47,punta arenas,-53.15,-70.9167,32.65,77,78,9.6,CL,1690317728
48,vila franca do campo,37.7167,-25.4333,72.01,78,40,2.39,PT,1690317845
49,turpan,42.9333,89.1667,95.79,14,97,6.69,CN,1690317899
50,yigo village,13.5361,144.8886,81.72,85,75,18.41,GU,1690317899
51,puerto natales,-51.7236,-72.4875,29.41,85,12,6.02,CL,1690317899
52,ribeira grande,38.5167,-28.7,73.8,73,20,5.99,PT,1690317884
53,cabo san lucas,22.8909,-109.9124,95.61,55,20,9.22,MX,1690317623
54,hilo,19.7297,-155.09,80.33,84,100,5.75,US,1690317899
55,qinzhou,21.95,108.6167,80.55,85,88,4.72,CN,1690317777
56,san patricio,28.017,-97.5169,98.69,38,18,17.52,US,1690317812
57,hermanus,-34.4187,19.2345,45.81,68,0,5.32,ZA,1690317818
58,ilhabela,-23.7781,-45.3581,70.79,79,28,4.41,BR,1690317900
59,blackmans bay,-43.0167,147.3167,54.7,74,100,12.62,AU,1690317881
60,labytnangi,66.6572,66.4183,61.39,91,100,8.25,RU,1690317900
61,ust-nera,64.5667,143.2,59.67,74,92,4.23,RU,1690317898
62,grytviken,-54.2811,-36.5092,25.86,80,72,10.51,GS,1690317900
63,flying fish cove,-10.4217,105.6791,74.88,94,75,8.05,CX,1690317900
64,tsetserleg,47.475,101.4542,48.0,83,65,5.46,MN,1690317901
65,mantyharju,61.4167,26.8833,60.91,75,100,2.62,FI,1690317901
66,wailua homesteads,22.0669,-159.378,83.19,79,75,16.11,US,1690317895
67,diego de almagro,-26.3667,-70.05,68.68,31,57,7.43,CL,1690317901
68,sitka,57.0531,-135.33,60.69,77,75,6.91,US,1690317901
69,laguna,38.421,-121.4238,99.64,34,0,6.91,US,1690317901
70,cockburn town,21.4612,-71.1419,84.16,77,24,17.34,TC,1690317902
71,igarka,67.4667,86.5833,59.36,80,17,8.14,RU,1690317829
72,labrador city,52.9463,-66.9114,60.71,94,100,0.0,CA,1690317829
73,tlanchinol,20.9833,-98.65,70.18,73,97,5.82,MX,1690317902
74,karratha,-20.7377,116.8463,64.29,76,7,10.25,AU,1690317903
75,mili,6.0815,171.735,82.67,75,100,5.66,MH,1690317903
76,touros,-5.1989,-35.4608,76.57,74,52,16.6,BR,1690317903
77,hermiston,45.8404,-119.2895,87.46,37,0,5.75,US,1690317904
78,el granada,37.5027,-122.4694,93.61,61,20,19.57,US,1690317833
79,puerto leguizamo,-0.1934,-74.7819,83.1,67,74,3.27,CO,1690317904
80,mil'kovo,55.6078,37.7956,66.34,96,95,7.14,RU,1690317853
81,hami,42.8,93.45,82.85,13,19,11.1,CN,1690317832
82,lihue,21.9789,-159.3672,83.79,72,75,16.11,US,1690317904
83,chonchi,-42.6128,-73.8092,51.01,93,68,6.33,CL,1690317830
84,tabasco,18.0,-92.6667,94.06,64,75,12.66,MX,1690317905
85,georgetown,5.4112,100.3354,81.01,89,20,2.3,MY,1690317790
86,vanino,49.0869,140.2543,64.71,97,93,3.24,RU,1690317905
87,tolanaro,-25.0319,46.9987,68.07,60,40,9.22,MG,1690317906
